Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,25,2.50,304.53,0
2.2,0,0.00,0.00,0
2.3,0,0.00,0.00,0
2.4,0,0.00,0.00,0
2.5,0,0.00,0.00,0
2.6,0,0.00,0.00,0
2.7,0,0.00,0.00,0
2.8,0,0.00,0.00,0
2.9,1724,100.00,1239.48,0
3.0,0,0.00,0.00,0
3.1,0,0.00,0.00,0
3.2,0,0.00,0.00,0
3.3,0,0.00,0.00,0
3.4,0,0.00,0.00,0
3.5,0,0.00,0.00,0
3.6,0,0.00,0.00,0
3.7,0,0.00,0.00,0
3.8,1724,0.10,13.76,0
3.9,0,0.00,0.00,0
4.0,0,0.00,0.00,0
4.1,0,0.00,0.00,0
4.2,0,0.00,0.00,0
4.3,0,0.00,0.00,0
4.4,0,0.00,0.00,0
4.5,1724,0.10,12.51,0
4.6,0,0.00,0.00,0
4.7,0,0.00,0.00,0
4.8,0,0.00,0.00,0
4.9,0,0.00,0.00,0
5.0,0,0.00,0.00,0
5.1,0,0.00,0.00,0
5.2,0,0.00,0.00,0
5.3,1724,0.10,15.20,0
5.4,0,0.00,0.00,0
5.5,0,0.00,0.00,0
5.6,0,0.00,0.00,0
5.7,0,0.00,0.00,0
5.8,0,0.00,0.00,0
5.9,0,0.00,0.00,0
6.0,1399,0.10,13.90,0
6.1,325,0.10,15.19,0
